@relation dataset-weka.filters.unsupervised.attribute.AddValues-C9-L2-weka.filters.unsupervised.attribute.AddValues-C9-L3

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute Tilt {0,1,2,3}
@attribute Swing {0,1,2,3}

@data
1388,'2018/02/14 20:34:02:517',2,16,-80,1040,0,1,1
1389,'2018/02/14 20:34:02:527',2,-16,-96,1024,-16,1,1
1390,'2018/02/14 20:34:02:539',2,-16,-96,1024,16,1,1
1391,'2018/02/14 20:34:02:539',2,-16,-96,1024,0,1,1
1392,'2018/02/14 20:34:02:548',2,16,-80,1024,0,1,1
1393,'2018/02/14 20:34:02:548',2,16,-80,1024,0,1,1
1394,'2018/02/14 20:34:02:557',2,16,-80,1024,0,1,1
1395,'2018/02/14 20:34:02:566',2,16,-112,992,-32,1,1
1396,'2018/02/14 20:34:02:566',2,16,-112,992,32,1,1
1397,'2018/02/14 20:34:02:577',2,16,-112,992,0,1,1
1398,'2018/02/14 20:34:02:577',2,-32,-96,992,0,1,1
1399,'2018/02/14 20:34:02:588',2,-32,-96,992,0,1,1
1400,'2018/02/14 20:34:02:588',2,-32,-96,992,0,1,1
1401,'2018/02/14 20:34:02:597',2,-32,-96,992,0,1,1
1402,'2018/02/14 20:34:02:607',2,16,-96,992,0,1,1
1403,'2018/02/14 20:34:02:607',2,16,-96,992,0,1,1
1404,'2018/02/14 20:34:02:616',2,16,-96,992,0,1,1
1405,'2018/02/14 20:34:02:627',2,-16,-80,1024,32,1,1
1406,'2018/02/14 20:34:02:627',2,-16,-80,1024,-32,1,1
1407,'2018/02/14 20:34:02:637',2,-16,-80,1024,0,1,1
1408,'2018/02/14 20:34:02:637',2,16,-96,1008,-16,1,1
1409,'2018/02/14 20:34:02:647',2,16,-96,1008,16,1,1
1410,'2018/02/14 20:34:02:658',2,16,-96,1008,0,1,1
1411,'2018/02/14 20:34:02:658',2,16,-64,1024,16,1,1
1412,'2018/02/14 20:34:02:667',2,16,-64,1024,-16,1,1
1413,'2018/02/14 20:34:02:667',2,16,-64,1024,0,1,1
1414,'2018/02/14 20:34:02:677',2,32,-48,1056,32,1,1
1415,'2018/02/14 20:34:02:687',2,32,-48,1056,-32,1,1
1416,'2018/02/14 20:34:02:687',2,32,-48,1056,0,1,1
1417,'2018/02/14 20:34:02:697',2,32,-48,1056,0,1,1
1418,'2018/02/14 20:34:02:697',2,16,-32,1024,-32,1,1
1419,'2018/02/14 20:34:02:707',2,16,-32,1024,32,1,1
1420,'2018/02/14 20:34:02:717',2,16,-32,1024,0,1,1
1421,'2018/02/14 20:34:02:717',2,16,-32,1024,0,1,1
1422,'2018/02/14 20:34:02:728',2,16,-32,1024,0,1,1
1423,'2018/02/14 20:34:02:728',2,16,-32,1024,0,1,1
1424,'2018/02/14 20:34:02:737',2,-16,-32,1056,32,1,1
1425,'2018/02/14 20:34:02:748',2,-16,-32,1056,-32,1,1
1426,'2018/02/14 20:34:02:748',2,-16,-32,1056,0,1,1
1427,'2018/02/14 20:34:02:756',2,-16,-32,1072,16,1,1
1428,'2018/02/14 20:34:02:757',2,-16,-32,1072,-16,1,1
1429,'2018/02/14 20:34:02:768',2,-16,-32,1072,0,1,1
1430,'2018/02/14 20:34:02:768',2,-16,-16,1024,-48,1,1
1431,'2018/02/14 20:34:02:777',2,0,-16,1024,48,1,1
1432,'2018/02/14 20:34:02:787',2,0,-16,1024,0,1,1
1433,'2018/02/14 20:34:02:788',2,0,-16,1024,0,1,1
1434,'2018/02/14 20:34:02:797',2,0,-32,1024,0,1,1
1435,'2018/02/14 20:34:02:806',2,0,-32,1024,0,1,1
1436,'2018/02/14 20:34:02:807',2,0,-32,1024,0,1,1
1437,'2018/02/14 20:34:02:817',2,-48,-16,1056,32,1,1
1438,'2018/02/14 20:34:02:817',2,-48,-16,1056,-32,1,1
1439,'2018/02/14 20:34:02:830',2,-48,-16,1056,0,1,1
1440,'2018/02/14 20:34:02:831',2,0,-16,1056,0,1,1
1441,'2018/02/14 20:34:02:837',2,0,-16,1056,0,1,1
1442,'2018/02/14 20:34:02:847',2,0,-16,1056,0,1,1
1443,'2018/02/14 20:34:02:847',2,-16,-16,1040,-16,1,1
1444,'2018/02/14 20:34:02:857',2,-16,-16,1040,16,1,1
1445,'2018/02/14 20:34:02:868',2,-16,-16,1040,0,1,1
1446,'2018/02/14 20:34:02:868',2,-16,-16,1040,0,1,1
1447,'2018/02/14 20:34:02:877',2,-32,-16,1024,-16,1,1
1448,'2018/02/14 20:34:02:877',2,-32,-16,1024,16,1,1
